source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:MF	GO:1901363	heterocyclic compound binding	0.00015931597508776608	True	"""Binding to heterocyclic compound."" [GOC:TermGenie]"	3307	107	36	22878	0.3364485981308411	0.010885999395222256	query_1	['GO:0036094']	4hr_60S_down	3.7977406740129833
GO:MF	GO:0043168	anion binding	0.00018281597248513142	True	"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]"	3268	107	35	22878	0.32710280373831774	0.010709914320685434	query_1	['GO:0043167']	4hr_60S_down	3.737985862983389
GO:MF	GO:0030976	thiamine pyrophosphate binding	0.0006978455134916187	True	"""Binding to thiamine pyrophosphate, the diphosphoric ester of thiamine. Acts as a coenzyme of several (de)carboxylases, transketolases, and alpha-oxoacid dehydrogenases."" [GOC:mlg]"	9	107	3	22878	0.028037383177570093	0.3333333333333333	query_1	['GO:0019842', 'GO:0043168', 'GO:0043169', 'GO:0050997', 'GO:1901363', 'GO:1901681']	4hr_60S_down	3.156240709273591
GO:MF	GO:0015293	symporter activity	0.0006978455134916187	True	"""Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported together in the same direction in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy."" [GOC:mtg_transport, ISBN:0815340729, PMID:10839820]"	97	107	6	22878	0.056074766355140186	0.061855670103092786	query_1	['GO:0015291']	4hr_60S_down	3.156240709273591
GO:MF	GO:0050997	quaternary ammonium group binding	0.0008040369446010722	True	"""Binding to a quaternary ammonium group, including glycine betaine, choline, carnitine and proline. A quaternary ammonium group is any compound that can be regarded as derived from ammonium hydroxide or an ammonium salt by replacement of all four hydrogen atoms of the NH4+ ion by organic groups."" [GOC:ai]"	12	107	3	22878	0.028037383177570093	0.25	query_1	['GO:0036094']	4hr_60S_down	3.094723995445883
GO:MF	GO:0043167	ion binding	0.0008040369446010722	True	"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]"	6685	107	52	22878	0.48598130841121495	0.007778608825729245	query_1	['GO:0036094']	4hr_60S_down	3.094723995445883
GO:MF	GO:0036094	small molecule binding	0.0008040369446010722	True	"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]"	6804	107	53	22878	0.4953271028037383	0.007789535567313345	query_1	['GO:0005488']	4hr_60S_down	3.094723995445883
GO:MF	GO:0005402	carbohydrate:monoatomic cation symporter activity	0.0008040369446010722	True	"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sugar(out) + cation(out) = sugar(in) + cation(in)."" [GOC:ai]"	12	107	3	22878	0.028037383177570093	0.25	query_1	['GO:0015144', 'GO:0015294']	4hr_60S_down	3.094723995445883
GO:MF	GO:0005351	carbohydrate:proton symporter activity	0.0008040369446010722	True	"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: carbohydrate(out) + H+(out) = carbohydrate(in) + H+(in)."" [TC:2.A.1.1]"	12	107	3	22878	0.028037383177570093	0.25	query_1	['GO:0005402', 'GO:0015295']	4hr_60S_down	3.094723995445883
GO:CC	GO:0005737	cytoplasm	0.0009645345816240794	True	"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]"	9524	104	72	20029	0.6923076923076923	0.007559848803023939	query_1	['GO:0005622', 'GO:0110165']	4hr_60S_down	3.015682196906279
