source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	Cluster	-log10(p_value)
GO:MF	GO:0016168	chlorophyll binding	0.039339103068453396	True	"""Binding to a chlorophyll; a compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment."" [GOC:jl]"	34	40	2	22878	0.05	0.058823529411764705	query_1	['GO:0046906']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0015431	ABC-type glutathione S-conjugate transporter activity	0.039339103068453396	True	"""Catalysis of the reaction: ATP + H2O + glutathione S-conjugate(in) -> ADP + phosphate + glutathione S-conjugate(out)."" [GOC:jl, PMID:1455517, RHEA:19121]"	1	40	1	22878	0.025	1.0	query_1	['GO:0140359', 'GO:1901682']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0010298	dihydrocamalexic acid decarboxylase activity	0.039339103068453396	True	"""Catalysis of the reaction: dihydrocamalexic acid = camalexin + CO2 + H+."" [MetaCyc:RXN-8275, PMID:16766671]"	1	40	1	22878	0.025	1.0	query_1	['GO:0016831']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0010290	chlorophyll catabolite transmembrane transporter activity	0.039339103068453396	True	"""Enables the directed movement of chlorophyll catabolites such as non-fluorescent chlorophyll catabolites (NCCs), from one side of a membrane to the other."" [PMID:9681016]"	1	40	1	22878	0.025	1.0	query_1	['GO:0022857']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0061666	UFM1 ligase activity	0.039339103068453396	True	"""Catalysis of the transfer of UFM1 to a substrate protein via the reaction X-UFM1 + S = X + S-UFM1, where X is either an E2 or E3 enzyme, the X-UFM1 linkage is a thioester bond, and the S-UFM1 linkage is an isopeptide bond between the C-terminal amino acid of UFM1 and the epsilon-amino group of lysine residues in the substrate."" [GOC:dph]"	1	40	1	22878	0.025	1.0	query_1	['GO:0061659', 'GO:0071568']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0102406	omega-hydroxypalmitate O-sinapoyl transferase activity	0.039339103068453396	True	"""Catalysis of the reaction: sinapoyl-CoA + 16-hydroxypalmitate = coenzyme A + 16-sinapoyloxypalmitate."" [EC:2.3.1.188, GOC:pz]"	1	40	1	22878	0.025	1.0	query_1	['GO:0016747']	4hr_60S_up	1.4051755462179523
GO:MF	GO:0050403	trans-zeatin O-beta-D-glucosyltransferase activity	0.04418108563478011	True	"""Catalysis of the reaction: trans-zeatin + UDP-D-glucose = O-beta-D-glucosyl-trans-zeatin + H+ + UDP."" [EC:2.4.1.203, RHEA:23224]"	3	40	1	22878	0.025	0.3333333333333333	query_1	['GO:0035251']	4hr_60S_up	1.354763616680936
GO:MF	GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	0.04418108563478011	True	"""Catalysis of the reaction: O-phospho-L-serine + 2-oxoglutarate = 3-phosphonooxypyruvate + L-glutamate."" [EC:2.6.1.52]"	2	40	1	22878	0.025	0.5	query_1	['GO:0008483']	4hr_60S_up	1.354763616680936
GO:MF	GO:0071568	UFM1 transferase activity	0.04418108563478011	True	"""Catalysis of the transfer of UFM1 from one protein to another via the reaction X-UFM1 + Y = Y-UFM1 + X, where both X-UFM1 and Y-UFM1 are covalent linkages."" [GOC:sp, PMID:20018847]"	2	40	1	22878	0.025	0.5	query_1	['GO:0019787']	4hr_60S_up	1.354763616680936
GO:MF	GO:0052638	indole-3-butyrate beta-glucosyltransferase activity	0.04418108563478011	True	"""Catalysis of the reaction: indole-3-butyrate + UDP-D-glucose = indole-3-butyryl-beta-1-D-glucose + UDP."" [MetaCyc:RXN-11655, RHEA:62708]"	2	40	1	22878	0.025	0.5	query_1	['GO:0035251']	4hr_60S_up	1.354763616680936
